《三体》中，古筝计划实施的地点是？,苏伊士运河,纽约港,巴拿马运河,香港,2,,
在《三体》中，有记录的第一个进入四维碎块的人是谁？,关一帆,艾AA,程心,狄奥伦娜,3,,
腾讯版《三体》电视剧主要由原作的哪一部改编？,第一部,第二部,第三部,三体X,0,,
以下哪位演员没有在腾讯版《三体》电视剧中出现？,于和伟,张鲁一,王子文,屈楚萧,3,,
《三体》里哪个设定和莱姆有关？,黑暗森林,面壁计划,物理规律被开发的宇宙,四维坍缩的“墓地”,2,,
以下哪个人物，未曾在动画《我的三体》中出现？,汪淼,艾AA,章北海,罗辑,1,,
哪一个企业不是动画《三体》的赞助商？,长安汽车,罗技鼠标,暗影精灵,南孚电池,1,,
动画《三体》有多少集？,12,24,52,15,3,,
动画《三体》中，罗辑在萨伊办公室所吃的小饼干与哪种现实世界中的商品最相似？,趣多多,奥利奥,M豆,压缩毛巾,1,,
刘慈欣出版的第一部小说是哪一部？,三体,超新星纪元,流浪地球,鲸歌,3,,
刘慈欣的上一部作品是什么？,《三体》,《黄金原野》,《流浪地球》,《太原之恋》,1,,
以下哪项没有出现在《太原之恋》中,《三千体》,《九万州》,马,长安汽车,3,,
在凡尔纳的小说《海底两万里》的结尾，尼摩船长葬身大海了吗,是,不是,,,1,,
哪部科幻作品里面有真男同,黑暗的左手,自新世界,机器人大师,三体,1,,
以下哪个不是《神们自己》中外星生物的性别之一,理者,情者,抚育者,捍卫者,3,,
克拉克的哪部作品与太空电梯有关,天堂的喷泉,月海沉船,与拉玛相会,2001太空漫游,0,,
凡尔纳《海底两万里》中的潜水艇叫什么,鹦鹉螺号,裴廓德号,挑战者号,赛尔号,0,,
凡尔纳的《从地球到月球》和刘慈欣的《地球大炮》都有把人发射到太空中的情节，请问在这两部小说中，他们分别是从哪里被发射的？,法国；中国,法国；南极,美国；中国,夜之城；至冬国,2,,
凡尔纳的哪一部作品中提到了一种简易的视觉暂留装置？,从地球到月球,海底两万里,地心游记,格兰特船长的儿女,2,,
《名为帝国的记忆》的续作叫？,《名为记忆的帝国》,《名为和平的荒芜》,《名为荒芜的和平》,《名为不洁的恋情》,1,,
由莱姆撰写的著名科幻小说《索拉里斯星》被改编为了1972年的什么电影？,《2001太空漫游》,《潜行者》,《飞向太空》,《回到未来》,2,,
潘海天《百万年僵尸》里，成为了女神的作家是？,贾立元,夏笳,郝景芳,江南和今何在,1,,
2023年雨果奖最佳短篇小说获奖作品是？,《北京折叠》,《论色散集》,《时空画师》,《中国幻协编年史》,2,,
《百年孤独》中，马孔多最终因何物而消失,大火,地震,飓风,蚂蚁,2,,
以下哪个不是《极乐迪斯科》中的技能,食髓知味,内陆帝国,天人感应,恐怖领带,3,,
以下哪个不是战锤40K中的势力,太空矮人,太空鼠人,灵族,混沌,1,,
游戏<群星>的剧情中被海星种族轰炸的殖民地是什么,地球,天津4,欧罗巴7号,,2,,
《流浪地球1》中，希望是像什么一样宝贵的东西？,长安汽车,法术位,钻石,图丫丫,2,,
众所周知《博德之门3》是CRPG，但是TRPG（跑团）中的t代表什么？,tabletop,Tsinghua University,talk,Tzeentch,0,,
以下不曾是清华大学学生科幻协会征文主题的是？,丝绸之路2033,茧,花,人类之后,0,,
《冰与火之歌》中，雪诺的真实身份是龙妈的什么人？,儿子,侄子,表弟,叔叔,1,,
美剧《权力的游戏》来自于原著《冰与火之歌》的哪一部的题目？,第一部,第二部,第五部,不是任何一部,0,,
反乌托邦三部曲中，出版最早的是哪一部？,我们,1984,美丽新世界,,0,,
“克苏鲁神话”体系的创始人洛夫克拉夫特的墓志铭是以下哪条？,I am Providence,"Pardon me for not getting up.","MILANESE,SCRISSE,AMO,VISSE",cursed be he that moves my bones.,0,,
“克苏鲁神话”体系的创始人洛夫克拉夫特最可能喜欢以下哪种动物？,狗,章鱼,猫,乌鸦,2,,
以下哪个是SCP基金会作为组织名的正确全拼,"Secure, Contain, Protect",Special Containment Procedures,"Scan, Copy, Print",Spicy Crispy Pizza,1,,
以下哪个不是韩松的作品？,“轨道三部曲”,“医院三部曲”,“地球往事三部曲”,,2,,
在以下动漫作品中，哪一个没有科幻要素？,《我们的雨色协议》,《水星的魔女》,《16bit的感动》,《金属口红》,0,,
以下哪款游戏不是“月亮计划”（project moon）制作的？,脑叶公司,废墟图书馆,边狱巴士,fate: grand order,3,,
以下科幻作家中，哪一个具有中国国籍？,匡灵秀,刘宇昆,姜峯楠,柳文扬,3,,
